Atom,X(Angstroms),Y(Angstroms),Z(Angstroms)
Carbon,-0.73353,1.009617,3.383424
Carbon,0.73353,1.009617,3.383424
Carbon,1.428038,1.965526,2.630968
Carbon,0.697119,2.96789,1.853701
Carbon,-0.697119,2.96789,1.853701
Carbon,-1.428038,1.965526,2.630968
Carbon,-1.186876,-0.385639,3.383424
Carbon,0,-1.247955,3.383424
Carbon,1.186876,-0.385639,3.383424
Carbon,2.310614,-0.750764,2.63096803
Carbon,2.607209,1.580128,1.85370103
Carbon,1.422615,3.197901,0.60459603
Carbon,0.727713,3.413217,-0.58603603
Carbon,-0.727713,3.413217,-0.58603603
Carbon,-1.422615,3.197901,0.60459603
Carbon,-2.601773,2.341193,0.60459603
Carbon,-2.607209,1.580128,1.85370103
Carbon,-3.038052,0.254129,1.85370103
Carbon,-2.310614,-0.750764,2.63096803
Carbon,0,-2.429523,2.63096803
Carbon,-1.180501,-2.810829,1.85370103
Carbon,-2.308463,-1.991317,1.85370103
Carbon,-3.030599,-1.750964,0.60459603
Carbon,-3.480997,-0.364782,0.60459603
Carbon,-3.471038,0.362646,-0.58603603
Carbon,-3.021287,1.746838,-0.58603603
Carbon,-2.299858,1.983472,-1.83562303
Carbon,-1.175699,2.800221,-1.83562303
Carbon,2.601773,2.341193,0.60459603
Carbon,1.186103,0.385388,-3.37108303
Carbon,2.305345,0.749052,-2.61638503
Carbon,3.02648,-0.252841,-1.83562303
Carbon,2.597089,-1.574368,-1.83562303
Carbon,1.424782,-1.961044,-2.61638503
Carbon,-0.733052,-1.00896,-3.37108303
Carbon,-1.186103,0.385388,-3.37108303
Carbon,0,1.247143,-3.37108303
Carbon,0,2.423983,-2.61638503
Carbon,1.175699,2.800221,-1.83562303
Carbon,2.299858,1.983472,-1.83562303
Carbon,3.471038,0.362646,-0.58603603
Carbon,3.480997,-0.364782,0.60459603
Carbon,3.030599,-1.750964,0.60459603
Carbon,2.59497,-2.333612,-0.58603603
Carbon,1.417507,-3.189089,-0.58603603
Carbon,0.694768,-2.956485,-1.83562303
Carbon,-0.694768,-2.956485,-1.83562303
Carbon,-1.424782,-1.961044,-2.61638503
Carbon,-2.305345,0.749052,-2.61638503
Carbon,-3.02648,-0.252841,-1.83562303
Carbon,-2.597089,-1.574368,-1.83562303
Carbon,-2.59497,-2.333612,-0.58603603
Carbon,-1.417507,-3.189089,-0.58603603
Carbon,-0.728759,-3.423349,0.60459603
Carbon,0.728759,-3.423349,0.60459603
Carbon,1.180501,-2.810829,1.85370103
Carbon,2.308463,-1.991317,1.85370103
Carbon,3.021287,1.746838,-0.58603603
Carbon,3.038052,0.254129,1.85370103
Carbon,0.733052,-1.00896,-3.37108303
 Aluminum,0,0,0.55612403
 Flourine,0,0,-1.13728503
